id,created_at,Animal,Lesson,S_Length,Completed,Track
446,2023-09-25 11:57:13.7461+00,Kanin,0,609.61651,TRUE,2
482,2023-09-29 11:14:21.441544+00,Reje,2,7.67982218,,3
483,2023-09-29 11:18:13.300159+00,,,,,
496,2023-09-30 10:44:29.74299+00,Jaguar,0,222.7901122,,2
448,2023-09-25 13:02:45.66545+00,Raev,0,719.652338,TRUE,3
460,2023-09-26 08:13:21.628417+00,Raev,1,639.188738,TRUE,3
461,2023-09-26 15:36:58.358225+00,Laks,,,,
462,2023-09-26 15:37:01.23772+00,Laks,,,,
463,2023-09-26 15:37:38.543906+00,Laks,1,640.0054337,TRUE,3
436,2023-09-24 09:37:46.198843+00,Laks,0,723.225573,TRUE,3
437,2023-09-24 12:37:24.888751+00,Baever,,,,
454,2023-09-25 18:23:29.641394+00,Ged,2,651.1894188,TRUE,2
466,2023-09-27 10:08:27.785703+00,Kanin,,,,
464,2023-09-26 15:39:11.95592+00,Reje,,,,
465,2023-09-26 15:39:27.257239+00,Reje,1,639.3799615,TRUE,3
455,2023-09-25 19:06:47.807334+00,Ged,0,30.9303623,,2
444,2023-09-24 19:13:22.307772+00,Egern,1,639.780441,TRUE,3
445,2023-09-25 11:56:59.255216+00,Kanin,,,,
456,2023-09-25 19:07:36.334741+00,Ged,,,,
503,2023-10-01 11:29:41.994259+00,Kanin,2,729.061421,TRUE,3
504,2023-10-02 16:43:06.214506+00,,,,,
497,2023-09-30 10:58:39.346611+00,Jaguar,0,171.743866,,3
475,2023-09-28 18:07:01.37487+00,Ged,1,771.883778,TRUE,3
484,2023-09-29 11:18:29.354457+00,,2,728.7231627,TRUE,3
488,2023-09-30 07:32:03.406332+00,Egern,,,,
480,2023-09-29 10:50:39.7921+00,Baever,2,769.845101,TRUE,3
449,2023-09-25 13:12:52.428073+00,Baever,,,,
481,2023-09-29 11:14:02.034082+00,Reje,,,,
471,2023-09-28 13:08:03.022094+00,Baever,1,639.782653,TRUE,3
457,2023-09-25 19:08:06.753302+00,Ged,0,370.6092934,,3
458,2023-09-25 19:17:33.355202+00,Ged,,,,
472,2023-09-28 15:46:39.173355+00,Egern,,,,
442,2023-09-24 17:29:38.742185+00,Raev,3,679.61956,TRUE,2
443,2023-09-24 19:13:08.116733+00,Egern,,,,
487,2023-09-29 21:25:28.126942+00,,2,733.1566691,TRUE,3
473,2023-09-28 15:46:55.257247+00,Egern,3,729.806514,TRUE,3
474,2023-09-28 18:06:42.62113+00,Ged,,,,
491,2023-09-30 07:40:48.863111+00,Jaguar,0,287.9650547,,1
485,2023-09-29 21:24:56.030496+00,,,,,
486,2023-09-29 21:25:10.925644+00,,,,,
478,2023-09-28 20:10:47.809092+00,Ged,1,668.6886087,TRUE,3
